id,core
crd_7b8a887fbfda4b869f7529f31da115f6,not_legal
crd_f17c60d077554d25b50fd934061b2e32,not_legal
crd_59aa66bcac7b43528a3c9c01f4bc1124,not_legal
crd_582917ea24ef4aa4a6921fcbe55d0100,not_legal
crd_88538250940d4c2c8b56b60aaeb07674,not_legal
crd_a3462450711a4425947830aa8a6039bf,not_legal
crd_166f05d54db54c06813b6dbb7693255d,not_legal
crd_4e3967f948654fc9a2d9595743e1709f,not_legal
crd_39972f3e75a3417488662b70443b3164,not_legal
crd_65868398266f4f95944543e1568bf043,not_legal
crd_5976c98ec3d145c686c0c1d5042a8ca2,not_legal
crd_68660de4a81d4426acdb185e3ff4813a,not_legal
crd_f20ba045e5754b24b0c431115ab83dd8,not_legal
crd_b0c8c37c12834fa1b2b7d831b172ff0c,not_legal
crd_17a352bad7df43d2bfd36a9c2c475c6c,not_legal
crd_c01f3a4124be48dbb77aaa45281e74ba,not_legal
crd_07af0c79c9fe46728b147454f273deac,not_legal
crd_a0d0572121974dd1afc318bb0fd0907e,not_legal
crd_43a7721fdfb145f8a5216c85da2c77ec,not_legal
crd_a94b5e02de4a43bdba60303fffe3d20f,not_legal
crd_4557d5bc41de40728df0ebbbdce4787f,not_legal
crd_6656edfc61dd4cc0846fee37f6c8e7b9,not_legal
crd_8497d60197bd451c91b4c2468f85b156,not_legal
crd_19217586b3924276aa8996d318f83139,not_legal
crd_5de4864e187a4039b3e47b6ada93b801,not_legal
crd_91292f4ca0684baf9ed9715bf7caa07a,not_legal
crd_a9d39ce276fd4f1b9435d1bb1d09559c,not_legal
crd_128b29d2aef043efb62b2fb63189c4ca,not_legal
crd_be7a93b4b99b4a8b9da63fd956fa3c86,not_legal
crd_cf72db3ded534d7086fb4ead70250f95,not_legal
crd_d4d40d9e539442f592da01b640e440a7,not_legal
crd_4251575ec547497da73676a6a09c8872,not_legal
crd_a631b5ead5b34dd4b89ae313a3dcbd1d,not_legal
crd_2fd6877d711c45f68ad61690d224306a,not_legal
crd_c9365d1b256c4d0fa0600686f72b6f3b,not_legal
crd_856fe3c718b544ba808b79a6811bca02,not_legal
crd_cb73a29ef0e94fdb80188902527c5d86,not_legal
crd_8a0ce27bd434498ba454be0571e58c5b,not_legal
crd_c695077508c44d728ac42c65ac8c97ab,not_legal
crd_6fbd9103624b4b8d95fec133326385c7,not_legal
crd_617dc5c42bf6460da3d61a1f330186bf,not_legal
crd_2f12cdedeefb448eb412128fb4a80fc7,not_legal
crd_ea5cca0b6f8747b8a438b6cdced02d93,not_legal
crd_034ca9ad96044d5297e30286fbd64ecb,not_legal
crd_92d831ee2e5b430a9bbbcf7d684bbd57,not_legal
crd_65425d8d8a8447d98f4571b7e42c8782,not_legal
crd_6cd588941df64ee2a38738b7f7e23c6a,not_legal
crd_99ced91e0cc94c6cb0be7bf655372dfd,not_legal
crd_1419caf47da54560bbafd279ca6cfc4b,not_legal
crd_dc31d36d626f403b871338da45d0a685,not_legal
crd_00d0840f303c41b1868ce427b9aaf837,not_legal
crd_97344330887a427fb7f2cbb01b7a3f0c,not_legal
crd_9a41d700cf2749da8eed29420df7467c,not_legal
crd_d84325bc9e814a69b6789f424c3a1eb8,not_legal
crd_997d20bbd2204f4a8cd9670598d8405c,not_legal
crd_02c20f35d83f4d6094a4427dae0c821f,not_legal
crd_c6f28ec2e7a94ce0901675915ba9ff7c,not_legal
crd_421a2dfb847b406fb91556a8ee090423,not_legal
crd_374115dba006482aa076efca3e52635a,not_legal
crd_6b0de2d0a5b84b5f852ba2a8eccd1a17,not_legal
crd_5cbbabaf0d9f4ad58c942174904a1d8f,not_legal
crd_9bc0e3add087485a927ee66c7414802d,not_legal
crd_d7336a7cef10416793a025c24ffc28a0,not_legal
crd_bb8cbf92bd50483b979bd9ad606987ae,not_legal
crd_2a6593b0affd4fbb8860ab6b3b131a50,not_legal
crd_075482312a124f6585f77be3a693f63f,not_legal
crd_030f9799a2ef4cc0afedc46a03650e70,not_legal
crd_107f43772b78405f8a4fb587e8279d14,not_legal
crd_9119b44cfe67444288a32f23009541e8,not_legal
crd_3aa1cf07954647c89708b98355e6c976,not_legal
crd_44fceab89d3a4b40bd343c2c84a5cca3,not_legal
crd_efcb250575354ffd8cdce9e8c45d52bf,not_legal
crd_2331f6d883e04464ba99cfff895683e2,not_legal
crd_f20b9f97af684d8e84eb6b017eabd8d5,not_legal
crd_9cbf437511cf41c7b61f04f01a22c39e,not_legal
crd_7c33f5d581a4424f97da41b37ef8f723,not_legal
crd_8c75431635854114b956328d8d30aa10,not_legal
crd_aab30247315a46debf548693f0b814c0,not_legal
crd_e2546a2e03c8442aba30fd09105e54db,not_legal
crd_466a67ed11c64db5962523365e633f0d,not_legal
crd_9aa8f725b1184ad1ab93f2c138625077,not_legal
crd_23e456f99c354c9892c90d72d6992bcb,not_legal
crd_11902901f7364369970762d49a1a760d,not_legal
crd_ad218b44923244058918299a897f9e4c,not_legal
crd_582e975ec5b64cb7be3e406585a05a6d,not_legal
crd_3463916fe4e54939a91ee57a62d50ba2,not_legal
crd_c089296aad2d4e4c86c0225be686795b,not_legal
crd_c53a704a909445f5b2837b51f29faa47,not_legal
crd_228ea83f82c34ee6a0df937dd8efe3f4,not_legal
crd_94afdca365e64d8ba0d826076fc4448e,not_legal
crd_1ee71443799d40dfb924b0c0f041ea5d,not_legal
crd_479312aef4f4411f8bd173c113ab31f4,not_legal
crd_5406218b8d7a41a68bdf0be3029acf05,not_legal
crd_7ce20e98d86e43eaaf8c525c60f4086c,not_legal
crd_b87dd2f01e364f679975158dd2637a6d,not_legal
crd_b2f167a1614348f194ac43b390bd7fe1,not_legal
crd_7b4400dc0c6b407083fd848dd281e6d8,not_legal
crd_1ed3d03ca8724920aa9dccede9e08900,not_legal
crd_6d0654972afb4eb581136a391d3f967b,not_legal
crd_9d508f285a934e1fbdd5182fc46734b9,not_legal
crd_766de0c1ae8b4e5da1ecd7740eb5feb8,not_legal
crd_2f052175c77d4035b1e261bf1675aee8,not_legal
crd_2baa971c1cbf4f349f4d343cd97010d5,not_legal
crd_c71e324054e14edfa3df845b31689f31,not_legal
crd_46799cbfa9fd48629572bf3851c598af,not_legal
crd_e093d909d79f4dd5baaccae93139c95b,not_legal
crd_8ca524116c8e486f99597ca9a67b803b,not_legal
crd_f0088a27ad794105a7a6858c5f32e3a8,not_legal
crd_6c12ae52fc6c4244b1f638ff2102bf59,not_legal
crd_cfd767c1ed88437486b41bb5670ccc1c,not_legal
crd_2f6b3b92c227489ab785e1d828ea5f44,not_legal
crd_8f39dbce50c045b49ae76f290eedd29c,not_legal
crd_df8f4f463d6e4b7483db0bfccd609059,not_legal
crd_4b053bdcc56546798dfd962d892a3630,not_legal
crd_01d728f9a98643378187ab0151a89b06,not_legal
crd_7873f8596eef4066bc23325ceeedcfd8,not_legal
crd_772912bd2bb0469890adfcc1b3eedd61,not_legal
crd_97ffca1bcf534de0ae272cbe065245f8,not_legal
crd_a5acdc20f6a54938be2874ab080a9053,not_legal
crd_0e20ed4554c44df494fcf78ac9ce0239,not_legal
crd_ea56665b30604ff0977e95ad7442f5f5,not_legal
crd_a545a0ceb41d4f2583bdc22226df0e31,not_legal
crd_bb6785f344ac4b43812ed03ffe3793af,not_legal
crd_5123478aad6349f1a3f4500b31bc7d5e,not_legal
crd_aace3808bd9f445195dceec7b4fe87e9,not_legal
crd_edb66d70e4d743b9927bd431e8aaedf7,not_legal
crd_eea9acebbeb6449a8cc03786f5bca24d,not_legal
crd_abdee4f2746b40b48c29ea5f3da815b2,not_legal
crd_025d33fc4b0c45caabfa10a108e46acd,not_legal
crd_d388e59bbe7d4da98d3779993a350b4c,not_legal
crd_d65c18ee25cd417bbb2c14e01f2a69a5,not_legal
crd_3f429b4816d0421cb951261fa3552a95,not_legal
crd_2543ac0748a945e3a4a68ef2f90e2feb,not_legal
crd_b9c345526a994ae88d5832aac9f083b9,not_legal
crd_5b57ee130c204b778df487c9826834c1,not_legal
crd_5c09e6638f7f4eccaa8ae9cf545702cc,not_legal
crd_7dd1be4d36094e6a9429298fb6a2d7df,not_legal
crd_a881e85e281f4e3abe2fbf0437a5c159,not_legal
crd_64b2156407ef4b99a1636bf189825eaa,not_legal
crd_7394b4b887f3447dae760121d9ddef7b,not_legal
crd_975737e961724e1983ed15fa1f6fbb33,not_legal
crd_5fe66ed6c5c842ac9e0ea2eba5ca3a4f,not_legal
crd_aa952f818e964c30b5d4be10e3654474,not_legal
crd_b513512cb8c04917ae7d0cbe7e1aa355,not_legal
crd_4aa4ce170d6840e393a1ffd6c44d96ee,not_legal
crd_e4908765126742488bab30dd0beb2c12,not_legal
crd_6e547f6533974321a1eb89579e98cac0,not_legal
crd_cbd38ca5b3b04da382b8aa2b3da66adb,not_legal
crd_40ef816e4c7a43cba37bb9f51a586626,not_legal
crd_48304fa82c024098bf755ea123884358,not_legal
crd_57018dbc35d34f65ab2480f09404907d,not_legal
crd_6e0ebfc57c174717baae1a0ec2a16830,not_legal
crd_3a009848a04944aba8e7402d221c897c,not_legal
crd_7115d5f5c2604ff08596a89ef6574d19,not_legal
crd_d27f3196f81b4b17a0134b39608aefe7,not_legal
crd_b846145aa8e84e80a877721741b41f50,not_legal
crd_982364cf0c5f42ee9ba82a335bf674b5,not_legal
crd_fbf237baa9744eb19ca3d4e6c280d587,not_legal
crd_ac870f32bf614f27a7b0c0bdf88837fe,not_legal
crd_c2ee125c29104a138b2a26608d6849c1,not_legal
crd_dc30f4ddffb84e7daf742ee323cfb552,not_legal
crd_a9c9c9ba97d94ac48f2a141e17b96230,not_legal
crd_049739e69c034e898c3c48abd37544cc,not_legal
crd_82a7bdb095d2477bbad45e524ad4a7dd,not_legal
crd_21d32224cf9f452ab94f70d9a2b40d79,not_legal
crd_edfd3ef020dd41d5b1733088bdf2c991,not_legal
crd_bb181c94e74a4e6e8983a33275b59f55,not_legal
crd_f19a04399d3d44a9b9e346a4ee4741a4,not_legal
crd_d6deefa8519c46a39b105b62d7b857f4,not_legal
crd_b499c66fd5104b3a994c3a6bd51ba692,not_legal
crd_6df56dd3dbb5471589800f12bba4eb46,not_legal
crd_af36de00a5544c83989f3295612c0bbf,not_legal
crd_c2b1ec76c46f4bc795726d2c2113e478,not_legal
crd_0b5dcdce945a404395b6c65a894ecf6d,not_legal
crd_7ee0b368f69e45f7832d164a926951ff,not_legal
crd_6a19afc00c8b45769267ad82f20e0929,not_legal
crd_426eee4c74d74ab08c77aea2b5640760,not_legal
crd_3071dce7efaf4e139b192b2e026b2999,not_legal
crd_d9abb9a8a381433486a5da9e3173de4b,not_legal
crd_1c5e7d4a006c4736baf5e602734fec5b,not_legal
crd_fef968cf2e0d47fbb8f241fa7d91fd27,not_legal
crd_7bea7155c9164c43949d5e4031b5d810,not_legal
crd_88c973fe2a114a198654133896a022b7,not_legal
